Summary
"2025-05-21, World Food Mart sold 2 unit(s) of Paneer at $7.23"
"2025-05-14, World Food Mart sold 4 unit(s) of Paneer at $8.58"
"2025-05-07, World Food Mart sold 2 unit(s) of Paneer at $4.53"
"2025-05-21, Costco sold 1 unit(s) of Paneer at $5.31"
"2025-05-14, Costco sold 4 unit(s) of Paneer at $2.65"
"2025-05-07, Costco sold 4 unit(s) of Paneer at $7.68"
"2025-05-21, Indian Bazaar sold 3 unit(s) of Paneer at $4.33"
"2025-05-14, Indian Bazaar sold 3 unit(s) of Paneer at $3.41"
"2025-05-07, Indian Bazaar sold 3 unit(s) of Paneer at $4.8"
"2025-05-21, Costco sold 5 unit(s) of Chicken at $3.22"
"2025-05-14, Costco sold 1 unit(s) of Chicken at $9.87"
"2025-05-07, Costco sold 1 unit(s) of Chicken at $8.94"
"2025-05-21, Sysco sold 4 unit(s) of Chicken at $7.84"
"2025-05-14, Sysco sold 1 unit(s) of Chicken at $3.48"
"2025-05-07, Sysco sold 4 unit(s) of Chicken at $4.17"
"2025-05-21, Indian Bazaar sold 3 unit(s) of Chicken at $6.56"
"2025-05-14, Indian Bazaar sold 4 unit(s) of Chicken at $5.71"
"2025-05-07, Indian Bazaar sold 2 unit(s) of Chicken at $4.67"
"2025-05-21, Sysco sold 5 unit(s) of Milk at $2.28"
"2025-05-14, Sysco sold 2 unit(s) of Milk at $3.41"
"2025-05-07, Sysco sold 5 unit(s) of Milk at $9.87"
"2025-05-21, Restaurant Depot sold 4 unit(s) of Milk at $5.99"
"2025-05-14, Restaurant Depot sold 2 unit(s) of Milk at $6.78"
"2025-05-07, Restaurant Depot sold 1 unit(s) of Milk at $4.69"
"2025-05-21, Costco sold 4 unit(s) of Milk at $8.15"
"2025-05-14, Costco sold 5 unit(s) of Milk at $9.51"
"2025-05-07, Costco sold 4 unit(s) of Milk at $2.34"
"2025-05-21, Restaurant Depot sold 2 unit(s) of Ginger at $6.56"
"2025-05-14, Restaurant Depot sold 5 unit(s) of Ginger at $5.6"
"2025-05-07, Restaurant Depot sold 2 unit(s) of Ginger at $9.6"
"2025-05-21, Costco sold 5 unit(s) of Ginger at $7.28"
"2025-05-14, Costco sold 5 unit(s) of Ginger at $6.08"
"2025-05-07, Costco sold 5 unit(s) of Ginger at $4.56"
"2025-05-21, Sysco sold 2 unit(s) of Ginger at $7.74"
"2025-05-14, Sysco sold 5 unit(s) of Ginger at $3.09"
"2025-05-07, Sysco sold 4 unit(s) of Ginger at $5.76"
"2025-05-21, Indian Bazaar sold 5 unit(s) of Onions at $8.23"
"2025-05-14, Indian Bazaar sold 4 unit(s) of Onions at $4.63"
"2025-05-07, Indian Bazaar sold 1 unit(s) of Onions at $6.39"
"2025-05-21, Costco sold 1 unit(s) of Onions at $9.26"
"2025-05-14, Costco sold 4 unit(s) of Onions at $6.07"
"2025-05-07, Costco sold 4 unit(s) of Onions at $3.72"
"2025-05-21, World Food Mart sold 4 unit(s) of Onions at $7.19"
"2025-05-14, World Food Mart sold 2 unit(s) of Onions at $5.7"
"2025-05-07, World Food Mart sold 1 unit(s) of Onions at $8.51"
"2025-05-21, Costco sold 1 unit(s) of Tomatoes at $2.14"
"2025-05-14, Costco sold 5 unit(s) of Tomatoes at $7.83"
"2025-05-07, Costco sold 1 unit(s) of Tomatoes at $6.58"
"2025-05-21, Indian Bazaar sold 5 unit(s) of Tomatoes at $3.4"
"2025-05-14, Indian Bazaar sold 4 unit(s) of Tomatoes at $2.75"
"2025-05-07, Indian Bazaar sold 1 unit(s) of Tomatoes at $6.16"
"2025-05-21, Sysco sold 4 unit(s) of Tomatoes at $8.81"
"2025-05-14, Sysco sold 4 unit(s) of Tomatoes at $8.4"
"2025-05-07, Sysco sold 5 unit(s) of Tomatoes at $9.7"
"2025-05-21, Indian Bazaar sold 5 unit(s) of Rice at $4.14"
"2025-05-14, Indian Bazaar sold 5 unit(s) of Rice at $6.46"
"2025-05-07, Indian Bazaar sold 4 unit(s) of Rice at $9.67"
"2025-05-21, Sysco sold 3 unit(s) of Rice at $4.6"
"2025-05-14, Sysco sold 4 unit(s) of Rice at $9.43"
"2025-05-07, Sysco sold 3 unit(s) of Rice at $3.4"
"2025-05-21, World Food Mart sold 1 unit(s) of Rice at $9.72"
"2025-05-14, World Food Mart sold 5 unit(s) of Rice at $8.47"
"2025-05-07, World Food Mart sold 1 unit(s) of Rice at $8.12"
"2025-05-21, Indian Bazaar sold 2 unit(s) of Spinach at $2.69"
"2025-05-14, Indian Bazaar sold 4 unit(s) of Spinach at $2.67"
"2025-05-07, Indian Bazaar sold 1 unit(s) of Spinach at $8.94"
"2025-05-21, Costco sold 1 unit(s) of Spinach at $9.25"
"2025-05-14, Costco sold 3 unit(s) of Spinach at $2.7"
"2025-05-07, Costco sold 3 unit(s) of Spinach at $3.2"
"2025-05-21, Sysco sold 5 unit(s) of Spinach at $6.7"
"2025-05-14, Sysco sold 1 unit(s) of Spinach at $3.34"
"2025-05-07, Sysco sold 2 unit(s) of Spinach at $8.32"
"2025-05-21, Restaurant Depot sold 2 unit(s) of Butter at $9.94"
"2025-05-14, Restaurant Depot sold 2 unit(s) of Butter at $6.99"
"2025-05-07, Restaurant Depot sold 5 unit(s) of Butter at $5.41"
"2025-05-21, Indian Bazaar sold 3 unit(s) of Butter at $9.13"
"2025-05-14, Indian Bazaar sold 2 unit(s) of Butter at $7.6"
"2025-05-07, Indian Bazaar sold 4 unit(s) of Butter at $5.96"
"2025-05-21, World Food Mart sold 3 unit(s) of Butter at $7.58"
"2025-05-14, World Food Mart sold 5 unit(s) of Butter at $9.5"
"2025-05-07, World Food Mart sold 2 unit(s) of Butter at $5.97"
"2025-05-21, Restaurant Depot sold 5 unit(s) of Yoghurt at $9.43"
"2025-05-14, Restaurant Depot sold 5 unit(s) of Yoghurt at $8.69"
"2025-05-07, Restaurant Depot sold 3 unit(s) of Yoghurt at $4.1"
"2025-05-21, Sysco sold 5 unit(s) of Yoghurt at $5.15"
"2025-05-14, Sysco sold 2 unit(s) of Yoghurt at $3.73"
"2025-05-07, Sysco sold 5 unit(s) of Yoghurt at $6.81"
"2025-05-21, Indian Bazaar sold 2 unit(s) of Yoghurt at $3.09"
"2025-05-14, Indian Bazaar sold 2 unit(s) of Yoghurt at $2.26"
"2025-05-07, Indian Bazaar sold 4 unit(s) of Yoghurt at $2.19"
